"","Grant Code","PI's Name","PI's Home Dept","TITLE","Sponsor","Total","IDC"
"200","NS5519","Travis Paveglio","CNR Natural Resources & Society","USDA FS Cross Boundary Wildfire","USDA Forest Service",49376.99,4488.93
"201","NS5602","Leda Kobziar","CNR Forest, Rangeland & Fire Sci","UF Phase II Pyroaeromycoses","University of Florida",195970.26,0
"202","NS6164","Travis Paveglio","CNR Natural Resources & Society","WRTC Advancing Fire Adapted Communi","Watershed Research And Training Center",72300.7,12050.08
"203","NS6770","Jan Eitel","CNR Natural Resources & Society","Columbia NASA Snow, Veg, Wildlife","Columbia University",121518.5,34095.17
"204","NS6899","Travis Paveglio","CNR Natural Resources & Society","USDI BLM Diverse wildfire recovery","USDI Bureau Of Land Management",75428.45,11181.44
"205","NS7520","Travis Paveglio","CNR Natural Resources & Society","USDA FS CCS:Comm-level soc vulnerab","USDA Forest Service",2582.26,384.6
"206","NS7602","Leda Kobziar","CNR Forest, Rangeland & Fire Sci","USDI BLM GRIN Emission Factors","USDI Bureau Of Land Management",8603.94,1266.94
"207","NS7649","Jan Eitel","CNR Natural Resources & Society","YCI Human Dimensions of Wolverines","Yellowstone to Yukon Conservation Inititiative",673.18,0
"208","NS7735","Travis Paveglio","CNR Natural Resources & Society","USFS Commu capacity for wildfire","USDA Forest Service",1623.64,0
"209","NS7735C","Travis Paveglio","CNR Natural Resources & Society","USFS Commu capacity for wildfire CS","USDA Forest Service",0,0
"210","NW0212","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","*IUSDI BLM Env Effects of Pygmy Rab","USDI Bureau Of Land Management",14181.87,2926.43
"211","NW0821","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","*I*USDI NPS Dall's Sheep in Alaska","USDI National Park Service",-0.02,-0.02
"212","NW1096","Kerri Vierling","CNR Fish & Wildlife Sciences","*I*UF Doris Duke Scholars","University of Florida",139098.35,11718.8
"213","NW1328","Kerri Vierling","CNR Fish & Wildlife Sciences","*I*USDA FS Wood Decay Fungi","USDA Forest Service",1008.62,0
"214","NW1328C","Kerri Vierling","CNR Fish & Wildlife Sciences","*I* USDA FS Wood Decay Fungi-Cost S","USDA Forest Service",0,0
"215","NW1391","Kerri Vierling","CNR Fish & Wildlife Sciences","*I*NPS Weippe Prairie Analysis","USDI National Park Service",45449.98,6769.05
"216","NW1421","Kerri Vierling","CNR Fish & Wildlife Sciences","*I* USDI NPS Developing Vegetation","USDI National Park Service",93166.47,13875.8
"217","NW1669","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","*I*WAFWA Assessment at Range-Wide","Western Association of Fish and Wildlife Agencies",26025.16,5370.18
"218","NW4195","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","*I*Moose Ecology in Idaho","Idaho Department of Fish & Game",258224.3,0
"219","NW4270","Kerri Vierling","CNR Fish & Wildlife Sciences","MULTIP DDCSP 2019","Multiplier",326655.45,24215.64
"220","NW5123","Kerri Vierling","CNR Fish & Wildlife Sciences","NASA GEDI Wildlife Applications","National Aeronautic Space Ad.",335206.98,41083.44
"221","NW5338","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","USACE Alaska Collared Pika YR2","US Army Corps of Engineers",51320.76,5851.99
"222","NW5604","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","IF&G Moose Ecology","Idaho Department of Fish & Game",76071.46,0
"223","NW5700","Eva Strand","CNR College of Natural Resources","USDI NPS BADL Bison & Water","USDI National Park Service",115245.42,12669.16
"224","NW6343","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","IDFG FY23 Moose Ecology","Idaho Department of Fish & Game",43626.12,0
"225","NW6640","Janet Rachlow Witham","CNR Fish & Wildlife Sciences","USDI BLM Pygmy rabbit habitat","USDI Bureau Of Land Management",83776.38,9351.36
"226","NW7389","Kerri Vierling","CNR Fish & Wildlife Sciences","NASA GEDI and Bats (FINESST)","National Aeronautic Space Ad.",49421.78,0
"227","RV4345","John Anderson","CAA Virtual Technology and Design","NSF WOWCLAN","National Science Foundation",25761.22,5315.75
"228","SG0342","Jeffrey Hicke","COS Earth and Spatial Sciences","*I*OSU Complex Interactions Climate","Oregon State University",642.54,192.77
"229","SG2159","Jeffrey Hicke","COS Earth and Spatial Sciences","*I*USDA FS Balsam Woolly Adelgid","USDA Forest Service",36998,0
"230","SG2554","Jeffrey Hicke","COS Earth and Spatial Sciences","*I*USDA FS 2018 NW Climate Confere","USDA Forest Service",10010,910
"231","SG2895","Jeffrey Hicke","COS Earth and Spatial Sciences","*I*UM  Rapid Genetic Pine Screening","University of Montana",13749.51,4427.82
"232","SG5950","Jeffrey Hicke","COS Earth and Spatial Sciences","WSU NASA Commercial Satellite","Washington State University",39953.6,11258.95
"233","SG6324","Jeffrey Hicke","COS Earth and Spatial Sciences","USDA FS Advancing Understanding of","USDA Forest Service",120890.22,0
"234","SH1340","Scott Nuismer","COS Biological Sciences","*I*DHHS Transmissible Vaccines","Dept. Health and Human Services",579853.47,170611.83
"235","SH7533","Scott Nuismer","COS Biological Sciences","NIH Transmissible Vaccines","Dept. Health and Human Services",60033.49,17613.13
"236","SL7016","Alistair Smith","COS Earth and Spatial Sciences","USDA NIFA Pines Fires&Nitrogen","National Institute of Food & Agriculture/USDA",258114.1,38007.95
"237","SL7925","Jeffrey Hicke","COS Earth and Spatial Sciences","USDA FS FHP-Spl-Pro-Prog: STDP tool","USDA Forest Service",7.2,2.4
"238","SL7925C","Jeffrey Hicke","COS Earth and Spatial Sciences","USDA FS FHP-Spl-Pro-Prog: STDP-CS","USDA Forest Service",0,0
"239","SL8162","Alistair Smith","COS Earth and Spatial Sciences","NASA FireSense Implementation Team","National Aeronautic Space Ad.",7859.77,2619.93
"240","SN2979","Scott Nuismer","COS Biological Sciences","UCD Prevent Emerging Pathogen","University of California, Davis",1701600.83,526518.46
"241","SS3133","Ann Brown","CEHHS DepartmenTofMovementSciences","*I*UNLV CTR-IN IDeA-CTR","University of Nevada Las Vegas Board of Regents",49557.09,15959.12
